Customer ID,Age,Generation,Gender,Item Purchased,Category, Purchase Amount (USD) ,Previous Purchases, Revenue Amount(USD) , Number Of Orders , Average Order Value(AOV) ,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Preferred Payment Method,Frequency of Purchases
25,18,Gen Z,Male,Jacket,Outerwear,22,16,352,1,352,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,Debit Card,Weekly
26,18,Gen Z,Male,Hoodie,Clothing,25,14,350,1,350,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,PayPal,Annually
27,38,Millennials,Male,Jewelry,Accessories,20,13,260,1,260,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,Credit Card,Annually
28,56,Gen X,Male,Shorts,Clothing,56,7,392,1,392,Kentucky,L,Cyan,Summer,5,Yes,Next Day Air,Yes,Yes,Bank Transfer,Every 3 Months
29,54,Gen X,Male,Handbag,Accessories,94,41,3854,1,3854,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,PayPal,Every 3 Months
30,31,Millennials,Male,Dress,Clothing,48,14,672,1,672,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,Credit Card,Weekly
31,57,Gen X,Male,Jewelry,Accessories,31,16,496,1,496,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,Credit Card,Monthly
32,33,Millennials,Male,Dress,Clothing,79,45,3555,1,3555,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,Venmo,Monthly
33,36,Millennials,Male,Jacket,Outerwear,67,37,2479,1,2479,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,Venmo,Annually
34,54,Gen X,Male,Pants,Clothing,38,45,1710,1,1710,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,Cash,Quarterly
35,36,Millennials,Male,T-shirt,Clothing,91,38,3458,1,3458,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,PayPal,Quarterly
36,54,Gen X,Male,Blouse,Clothing,33,48,1584,,,Massachusetts,M,Cyan,Summer,4,Yes,2-Day Shipping,Yes,Yes,Credit Card,Bi-Weekly
37,35,Millennials,Male,T-shirt,Clothing,69,44,3036,1,3036,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,PayPal,Fortnightly
38,35,Millennials,Male,Jeans,Clothing,45,10,450,1,450,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,PayPal,Weekly
39,29,Millennials,Male,Dress,Clothing,37,44,1628,1,1628,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,Venmo,Every 3 Months
40,70,Baby Boomers,Male,Pants,Clothing,60,18,1080,1,1080,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,Credit Card,Monthly
41,69,Baby Boomers,Male,Handbag,Accessories,76,31,2356,1,2356,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,Debit Card,Quarterly
42,67,Baby Boomers,Male,Scarf,Accessories,39,40,1560,1,1560,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,Venmo,Annually
43,20,Gen Z,Male,Coat,Outerwear,100,15,1500,1,1500,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,PayPal,Annually
44,25,Gen Z,Male,Scarf,Accessories,69,19,1311,1,1311,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,PayPal,Fortnightly
45,39,Millennials,Male,Hat,Accessories,53,45,2385,1,2385,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,PayPal,Weekly
46,50,Gen X,Male,Socks,Clothing,21,25,525,1,525,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,PayPal,Annually
47,57,Gen X,Male,Shirt,Clothing,43,45,1935,1,1935,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,Cash,Quarterly
48,55,Gen X,Male,Jewelry,Accessories,54,36,1944,1,1944,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,Cash,Weekly
49,42,Gen X,Male,Shirt,Clothing,55,38,2090,1,2090,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,Cash,Monthly
50,68,Baby Boomers,Male,Hoodie,Clothing,30,34,1020,,,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,Debit Card,Bi-Weekly
51,49,Gen X,Male,Blouse,Clothing,28,39,1092,,,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,Debit Card,Bi-Weekly
52,59,Baby Boomers,Male,Skirt,Clothing,59,7,413,1,413,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,Credit Card,Quarterly
53,42,Gen X,Male,T-shirt,Clothing,20,26,520,1,520,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,Credit Card,Weekly
54,29,Millennials,Male,Skirt,Clothing,24,35,840,1,840,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,Credit Card,Weekly
55,47,Gen X,Male,Coat,Outerwear,94,35,3290,,,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,Debit Card,Bi-Weekly
56,40,Millennials,Male,Jacket,Outerwear,28,49,1372,1,1372,South Carolina,M,Lavender,Winter,3,Yes,2-Day Shipping,Yes,Yes,Credit Card,Annually
57,41,Millennials,Male,Backpack,Accessories,73,46,3358,1,3358,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,Credit Card,Weekly
58,21,Gen Z,Male,Coat,Outerwear,64,17,1088,1,1088,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,Debit Card,Fortnightly
59,69,Baby Boomers,Male,Hoodie,Clothing,54,29,1566,1,1566,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,Venmo,Monthly
60,63,Baby Boomers,Male,Belt,Accessories,79,4,316,1,316,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,Debit Card,Weekly
61,50,Gen X,Male,Sweater,Clothing,37,17,629,1,629,Idaho,L,Brown,Summer,4,Yes,Express,Yes,Yes,Cash,Weekly
62,55,Gen X,Male,Scarf,Accessories,68,21,1428,1,1428,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,Credit Card,Every 3 Months
63,30,Millennials,Male,Sneakers,Footwear,21,31,651,1,651,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,Credit Card,Fortnightly
64,33,Millennials,Male,Sunglasses,Accessories,79,43,3397,1,3397,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,Credit Card,Weekly
65,65,Baby Boomers,Male,Boots,Footwear,83,18,1494,1,1494,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,Debit Card,Fortnightly
66,65,Baby Boomers,Male,Backpack,Accessories,36,44,1584,1,1584,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,Venmo,Every 3 Months
67,31,Millennials,Male,Blouse,Clothing,94,3,282,1,282,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,Venmo,Every 3 Months
68,45,Gen X,Male,Coat,Outerwear,33,49,1617,1,1617,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,Debit Card,Monthly
69,57,Gen X,Male,Handbag,Accessories,46,21,966,1,966,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,Cash,Every 3 Months
70,48,Gen X,Male,Belt,Accessories,70,5,350,1,350,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,Cash,Weekly
71,22,Gen Z,Male,Belt,Accessories,29,32,928,1,928,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,Debit Card,Every 3 Months
72,36,Millennials,Male,Dress,Clothing,48,34,1632,1,1632,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,Bank Transfer,Annually
73,18,Gen Z,Male,Dress,Clothing,26,21,546,1,546,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,Bank Transfer,Every 3 Months
74,48,Gen X,Male,Pants,Clothing,85,43,3655,,,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,Bank Transfer,Bi-Weekly
75,49,Gen X,Male,Gloves,Accessories,58,3,174,1,174,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,Cash,Monthly
76,64,Baby Boomers,Male,Scarf,Accessories,85,21,1785,1,1785,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,Credit Card,Annually
77,50,Gen X,Male,Hat,Accessories,43,32,1376,1,1376,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,Venmo,Monthly
78,22,Gen Z,Male,Dress,Clothing,53,36,1908,1,1908,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,Debit Card,Fortnightly
79,50,Gen X,Male,Skirt,Clothing,91,50,4550,1,4550,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,Venmo,Fortnightly
80,38,Millennials,Male,Jacket,Outerwear,96,43,4128,1,4128,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,Bank Transfer,Every 3 Months
81,19,Gen Z,Male,Sandals,Footwear,72,24,1728,1,1728,New York,XL,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,Credit Card,Every 3 Months
82,67,Baby Boomers,Male,Shoes,Footwear,96,36,3456,1,3456,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,Credit Card,Every 3 Months
83,19,Gen Z,Male,Pants,Clothing,28,21,588,1,588,Georgia,S,Olive,Spring,4,Yes,2-Day Shipping,Yes,Yes,Credit Card,Every 3 Months
84,36,Millennials,Male,Dress,Clothing,40,34,1360,1,1360,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,Bank Transfer,Weekly
85,52,Gen X,Male,Coat,Outerwear,32,42,1344,1,1344,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,Bank Transfer,Every 3 Months
86,53,Gen X,Male,Sunglasses,Accessories,95,2,190,,,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,Debit Card,Bi-Weekly
87,24,Gen Z,Male,Hoodie,Clothing,41,47,1927,,,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,Cash,Bi-Weekly
88,52,Gen X,Male,Shoes,Footwear,53,44,2332,1,2332,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,Debit Card,Fortnightly
89,33,Millennials,Male,T-shirt,Clothing,47,35,1645,1,1645,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,Credit Card,Monthly
90,47,Gen X,Male,Jacket,Outerwear,83,15,1245,1,1245,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,Cash,Quarterly
91,25,Gen Z,Male,Hat,Accessories,48,29,1392,1,1392,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,Credit Card,Monthly
92,44,Gen X,Male,Scarf,Accessories,99,18,1782,1,1782,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,Credit Card,Every 3 Months
93,61,Baby Boomers,Male,Jacket,Outerwear,87,13,1131,1,1131,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,Venmo,Every 3 Months
94,37,Millennials,Male,Sweater,Clothing,62,46,2852,1,2852,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,Credit Card,Weekly
95,58,Baby Boomers,Male,Skirt,Clothing,76,28,2128,1,2128,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,Credit Card,Weekly
96,37,Millennials,Male,Sneakers,Footwear,100,48,4800,1,4800,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,PayPal,Monthly
97,32,Millennials,Male,Gloves,Accessories,73,43,3139,1,3139,Delaware,S,Gold,Spring,3.6,Yes,Express,Yes,Yes,Venmo,Every 3 Months
98,21,Gen Z,Male,Shoes,Footwear,92,37,3404,1,3404,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,Cash,Annually
99,20,Gen Z,Male,Jeans,Clothing,67,20,1340,1,1340,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,Bank Transfer,Annually
100,26,Gen Z,Male,Hoodie,Clothing,40,33,1320,1,1320,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,Debit Card,Quarterly
101,62,Baby Boomers,Male,Sunglasses,Accessories,98,31,3038,1,3038,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,Cash,Fortnightly
102,27,Millennials,Male,Coat,Outerwear,85,50,4250,,,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,Credit Card,Bi-Weekly
103,51,Gen X,Male,Socks,Clothing,67,35,2345,1,2345,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,Credit Card,Quarterly
104,54,Gen X,Male,Boots,Footwear,89,22,1958,,,West Virginia,L,Red,Winter,4,Yes,Next Day Air,Yes,Yes,Venmo,Bi-Weekly
105,55,Gen X,Male,Sunglasses,Accessories,24,1,24,1,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,PayPal,Monthly
106,69,Baby Boomers,Male,Backpack,Accessories,96,4,384,1,384,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,Bank Transfer,Annually
107,64,Baby Boomers,Male,Jacket,Outerwear,35,31,1085,1,1085,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,Credit Card,Monthly
108,28,Millennials,Male,Sneakers,Footwear,67,46,3082,1,3082,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,PayPal,Fortnightly
109,70,Baby Boomers,Male,Socks,Clothing,79,32,2528,,,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,Bank Transfer,Bi-Weekly
110,58,Baby Boomers,Male,T-shirt,Clothing,85,43,3655,1,3655,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,Bank Transfer,Fortnightly
111,56,Gen X,Male,Backpack,Accessories,26,26,676,1,676,New York,M,Black,Summer,4,Yes,Standard,Yes,Yes,Venmo,Fortnightly
112,26,Gen Z,Male,Belt,Accessories,75,9,675,1,675,Massachusetts,L,Purple,Summer,5,Yes,Free Shipping,Yes,Yes,Credit Card,Annually
113,37,Millennials,Male,Gloves,Accessories,65,28,1820,,,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,PayPal,Bi-Weekly
114,44,Gen X,Male,Hat,Accessories,54,20,1080,1,1080,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,PayPal,Quarterly
115,70,Baby Boomers,Male,Coat,Outerwear,95,9,855,1,855,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,Cash,Weekly
116,53,Gen X,Male,Skirt,Clothing,94,48,4512,1,4512,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,Debit Card,Every 3 Months
117,55,Gen X,Male,Shoes,Footwear,86,12,1032,1,1032,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,Venmo,Annually
118,50,Gen X,Male,Sandals,Footwear,32,29,928,1,928,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,Cash,Fortnightly
119,50,Gen X,Male,Sweater,Clothing,45,27,1215,,,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,Cash,Bi-Weekly
120,38,Millennials,Male,Coat,Outerwear,76,44,3344,1,3344,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,Cash,Annually
121,64,Baby Boomers,Male,Hat,Accessories,84,32,2688,1,2688,West Virginia,L,Red,Summer,4,Yes,Express,Yes,Yes,Bank Transfer,Annually
122,19,Gen Z,Male,Shorts,Clothing, $72 ,11,792,1,792,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,Cash,Fortnightly
123,40,Millennials,Male,Backpack,Accessories,40,44,1760,1,1760,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,Cash,Fortnightly
124,57,Gen X,Male,Sweater,Clothing,89,46,4094,1,4094,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,Cash,Weekly
125,44,Gen X,Male,Sweater,Clothing,86,50,4300,1,4300,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,PayPal,Annually
126,49,Gen X,Male,Shorts,Clothing,54,45,2430,1,2430,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,Venmo,Every 3 Months
127,43,Gen X,Male,Shorts,Clothing,36,48,1728,1,1728,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,Cash,Every 3 Months
128,24,Gen Z,Male,Sweater,Clothing,89,26,2314,1,2314,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,Credit Card,Weekly
129,20,Gen Z,Male,Scarf,Accessories,32,21,672,1,672,California,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,Credit Card,Fortnightly
130,24,Gen Z,Male,Dress,Clothing,67,49,3283,,,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,PayPal,Bi-Weekly
131,44,Gen X,Male,Scarf,Accessories,39,13,507,1,507,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,PayPal,Fortnightly
132,28,Millennials,Male,Skirt,Clothing,29,46,1334,1,1334,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,Credit Card,Weekly
133,30,Millennials,Male,Backpack,Accessories,58,42,2436,1,2436,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,PayPal,Weekly
134,52,Gen X,Male,Sweater,Clothing,65,25,1625,1,1625,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,Venmo,Annually
135,43,Gen X,Male,Hat,Accessories,94,25,2350,1,2350,Texas,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,Cash,Monthly
136,43,Gen X,Male,Sandals,Footwear,81,12,972,1,972,Kansas,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,PayPal,Quarterly
137,39,Millennials,Male,Blouse,Clothing,86,4,344,1,344,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,Debit Card,Quarterly
138,68,Baby Boomers,Male,Sneakers,Footwear,43,38,1634,1,1634,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,PayPal,Weekly
139,68,Baby Boomers,Male,Skirt,Clothing,29,42,1218,1,1218,Georgia,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,Bank Transfer,Weekly
140,49,Gen X,Male,Coat,Outerwear,95,30,2850,1,2850,Florida,M,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,Venmo,Annually
141,63,Baby Boomers,Male,Shirt,Clothing,28,50,1400,1,1400,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,Credit Card,Weekly
142,56,Gen X,Male,Gloves,Accessories,46,45,2070,1,2070,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,PayPal,Weekly
143,37,Millennials,Male,Jacket,Outerwear,58,33,1914,1,1914,Nebraska,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,Credit Card,Fortnightly
144,30,Millennials,Male,Coat,Outerwear,48,25,1200,1,1200,Missouri,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,PayPal,Quarterly
145,19,Gen Z,Male,Shoes,Footwear,43,25,1075,1,1075,New Jersey,M,Silver,Fall,3.2,Yes,Express,Yes,Yes,Cash,Monthly
146,24,Gen Z,Male,Jewelry,Accessories,95,44,4180,1,4180,Missouri,M,Teal,Fall,4.5,Yes,Standard,Yes,Yes,Debit Card,Quarterly
147,52,Gen X,Male,Skirt,Clothing,30,21,630,1,630,Colorado,S,Black,Fall,4,Yes,Standard,Yes,Yes,Venmo,Fortnightly
148,63,Baby Boomers,Male,Shoes,Footwear,64,31,1984,1,1984,Idaho,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,Bank Transfer,Fortnightly
149,37,Millennials,Male,Gloves,Accessories,90,47,4230,1,4230,Wyoming,M,Gray,Fall,2.6,Yes,Store Pickup,Yes,Yes,Debit Card,Annually
150,38,Millennials,Male,Pants,Clothing,76,14,1064,1,1064,Delaware,M,White,Summer,3.2,Yes,Free Shipping,Yes,Yes,PayPal,Monthly
151,35,Millennials,Male,Boots,Footwear,96,17,1632,1,1632,California,L,Cyan,Fall,4.9,Yes,Standard,Yes,Yes,Debit Card,Every 3 Months
152,28,Millennials,Male,Sunglasses,Accessories,47,3,141,1,141,North Dakota,L,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,Yes,Venmo,Annually
153,30,Millennials,Male,Shirt,Clothing,85,42,3570,1,3570,South Carolina,S,Brown,Summer,4.3,Yes,Express,Yes,Yes,Venmo,Annually
154,69,Baby Boomers,Male,Hoodie,Clothing,55,22,1210,1,1210,North Carolina,M,Maroon,Winter,3.2,Yes,Standard,Yes,Yes,Debit Card,Annually
155,41,Millennials,Male,Dress,Clothing,98,21,2058,1,2058,Oklahoma,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,Venmo,Quarterly
156,63,Baby Boomers,Male,Socks,Clothing,77,21,1617,1,1617,Maine,S,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,Bank Transfer,Quarterly
157,35,Millennials,Male,Shorts,Clothing,26,40,1040,1,1040,Missouri,M,Lavender,Fall,4,Yes,Standard,Yes,Yes,Debit Card,Annually
158,36,Millennials,Male,Hat,Accessories,68,1,68,1,68,Vermont,S,Yellow,Fall,3,Yes,Next Day Air,Yes,Yes,Bank Transfer,Fortnightly
159,25,Gen Z,Male,Shirt,Clothing,73,50,3650,1,3650,Connecticut,XL,Teal,Fall,4.1,Yes,Standard,Yes,Yes,Bank Transfer,Monthly
160,58,Baby Boomers,Male,Gloves,Accessories,27,39,1053,1,1053,New Hampshire,M,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,Yes,Bank Transfer,Every 3 Months
161,27,Millennials,Male,Gloves,Accessories,23,34,782,1,782,Texas,M,Orange,Summer,4.6,Yes,Free Shipping,Yes,Yes,Venmo,Monthly
162,65,Baby Boomers,Male,Backpack,Accessories,49,29,1421,1,1421,North Dakota,M,Olive,Fall,3,Yes,Express,Yes,Yes,Venmo,Fortnightly
163,54,Gen X,Male,Sunglasses,Accessories,74,31,2294,,,California,M,Turquoise,Summer,3,Yes,Store Pickup,Yes,Yes,PayPal,Bi-Weekly
164,54,Gen X,Male,Skirt,Clothing,67,8,536,1,536,Virginia,M,Purple,Summer,3.4,Yes,Standard,Yes,Yes,Debit Card,Weekly
